Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-08 10:54:36.865 -0500,"Success",0:00:07,0,0,0,"20231208_105436.865/LogFile.txt","","",1
2024-03-18 11:49:18.667 -0400,"Aborted",0:00:21,1,0,1,"20240318_114918.667/LogFile.txt","","",0
2024-03-18 11:50:17.412 -0400,"Success",0:00:10,0,0,0,"20240318_115017.412/LogFile.txt","","",1
2024-03-18 11:50:43.832 -0400,"Aborted",0:00:30,1,0,1,"20240318_115043.832/LogFile.txt","","",0
2024-03-18 11:51:14.670 -0400,"Aborted",0:00:04,1,0,1,"20240318_115114.670/LogFile.txt","","",0
2024-03-18 11:51:41.740 -0400,"Aborted",0:00:05,1,0,1,"20240318_115141.740/LogFile.txt","","",0
2024-03-18 11:51:55.153 -0400,"Aborted",0:00:10,1,0,0,"20240318_115155.153/LogFile.txt","","",0
2024-03-18 11:52:05.549 -0400,"Aborted",0:00:01,1,0,0,"20240318_115205.549/LogFile.txt","","",0
2024-03-18 11:52:47.463 -0400,"Aborted",0:00:10,1,0,0,"20240318_115247.463/LogFile.txt","","",0
2024-03-18 11:53:34.807 -0400,"Aborted",0:00:15,1,0,1,"20240318_115334.807/LogFile.txt","","",0
2024-03-18 11:54:30.424 -0400,"Success",0:00:06,0,0,0,"20240318_115430.424/LogFile.txt","","",1
